"Numero_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal","Descripcio_dia_setmana","NK_Any","Mes_any","Nom_mes","Dia_mes","Hora_dia","Descripcio_torn","Descripcio_causa_vianant","Descripcio_tipus_vehicle","Descripcio_model","Descripcio_marca","Descripcio_color","Descripcio_carnet","Antiguitat_carnet","Coordenada_UTM_X_ED50","Coordenada_UTM_Y_ED50","Longitud_WGS84","Latitud_WGS84"
"2023S001737    ",2,"Eixample",7,"la Dreta de l'Eixample",148307,"Gràcia","0101 0101","Diumenge","2023",3,"Març","26","11","Matí","No és causa del  vianant","Turisme","POLO","VOLKSWAGEN","Gris","B","1","429914.38 ","4583230.13","2.160498625","41.395706928"
"2023S006367    ",2,"Eixample",7,"la Dreta de l'Eixample",148307,"Gràcia","0101 0101","Divendres","2023",10,"Octubre","27","22","Nit","No és causa del  vianant","Turisme","ARONA","SEAT","Blau","B","25","429914.38 ","4583230.13","2.160498625","41.395706928"
"2023S006367    ",2,"Eixample",7,"la Dreta de l'Eixample",148307,"Gràcia","0101 0101","Divendres","2023",10,"Octubre","27","22","Nit","No és causa del  vianant","Turisme","N208 5P ACTIVE PACK PU","PEUGEOT","Gris","B","5","429914.38 ","4583230.13","2.160498625","41.395706928"
"2023S005051    ",2,"Eixample",7,"la Dreta de l'Eixample",148307,"Gràcia","0102 0102","Dijous","2023",8,"Agost","24","16","Tarda","No és causa del  vianant","Autobús","BS","SERCAR","Blau","D","32","429914.38 ","4583230.13","2.160498625","41.395706928"
"2023S005051    ",2,"Eixample",7,"la Dreta de l'Eixample",148307,"Gràcia","0102 0102","Dijous","2023",8,"Agost","24","16","Tarda","No és causa del  vianant","Autobús","NL 273 F/CITTOUR","MAN","Vermell","D","28","429914.38 ","4583230.13","2.160498625","41.395706928"
"2023S006952    ",2,"Eixample",7,"la Dreta de l'Eixample",148307,"Gràcia","0102 0102","Dijous","2023",11,"Novembre","23","11","Matí","No és causa del  vianant","Autobús","URBIS DD/BRLH","UNVI","Desconegut","D1","32","429973.45 ","4583213.48","2.161207085","41.395562116"
"2023S007061    ",2,"Eixample",7,"la Dreta de l'Eixample",148307,"Gràcia","0102 0102","Dimarts","2023",11,"Novembre","28","08","Matí","No és causa del  vianant","Furgoneta","KANGOO","RENAULT","Blanc","B","11","429914.38 ","4583230.13","2.160498625","41.395706928"
"2023S007061    ",2,"Eixample",7,"la Dreta de l'Eixample",148307,"Gràcia","0102 0102","Dimarts","2023",11,"Novembre","28","08","Matí","No és causa del  vianant","Motocicleta","MOVIE 125 XL","KYMCO","Negre","B","36","429914.38 ","4583230.13","2.160498625","41.395706928"
"2023S004919    ",2,"Eixample",7,"la Dreta de l'Eixample",148307,"Gràcia","0104 0104","Dimarts","2023",8,"Agost","15","16","Tarda","No és causa del  vianant","Bicicleta","Desconegut","BICING","Vermell","Desconegut","Desconegut","429914.38 ","4583230.13","2.160498625","41.395706928"
"2023S004919    ",2,"Eixample",7,"la Dreta de l'Eixample",148307,"Gràcia","0104 0104","Dimarts","2023",8,"Agost","15","16","Tarda","No és causa del  vianant","Taxi","JOGGER","DACIA","Negre/Groc","B","39","429914.38 ","4583230.13","2.160498625","41.395706928"
